,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,AI_mean,AI_std,AD_mean,AD_std,AG_mean,AG_std,inp_fid_mean,inp_fid_std,faithfulness_mean,faithfulness_std,sparseness_mean,sparseness_std,complexity_mean,complexity_std,iou_mean,iou_std,m1,m2
0,81.3193668528864,8.054959218966669,82.68299592667896,7.462012857215608,81.32709113607991,8.048796321240802,81.0272571452968,8.33115397497659,81.32709113607991,8.048796321240804,76.0,11.886292551392295,86.6541822721598,12.955583781175156,65.21011810302734,11.423603837636774,3.5296587267890573,5.680756220823293,57.69318313598633,14.922730415188296,80.85999984741211,17.110736081369616,0.0010524739569518714,0.0019220045348012304,0.8444894790649414,0.02371480635702759,10.07919397354126,0.18426034339926708,0.19740298241376877,0.07175285322113205,results/hubert/overlap/saliency,gbp
1,81.31936685288642,8.054959218966667,82.68299592667894,7.462012857215608,81.3270911360799,8.048796321240802,81.0272571452968,8.33115397497659,81.3270911360799,8.048796321240804,76.0,11.886292551392295,86.6541822721598,12.955583781175156,65.32107384999593,11.865596368261533,4.1804746029185855,6.699638894016555,57.41891757448434,15.643159281233716,80.82055530548095,16.556413386010867,0.000506531032787152,0.0010986237181190707,0.7909205774466197,0.04249012964926716,10.293884325027467,0.848049455467046,0.036371020747659105,0.07792896294760461,results/hubert/overlap/gbp,ig
2,81.3193668528864,8.054959218966667,82.68299592667897,7.462012857215608,81.32709113607991,8.048796321240802,81.02725714529682,8.33115397497659,81.32709113607991,8.048796321240804,75.99999999999999,11.886292551392293,86.6541822721598,12.955583781175156,65.16677012973362,11.899775387376694,4.287478285928657,6.888853505784965,57.12754655281649,15.840091475926817,80.81086387634278,16.561419461059497,0.00043329141229182913,0.0009608778335555248,0.7812499198648665,0.042126601264001036,10.307367134094239,0.973007709667832,0.026467275888555578,0.06532474812767601,results/hubert/overlap/gbp,ggc
3,81.3193668528864,8.054959218966667,82.68299592667894,7.462012857215608,81.3270911360799,8.048796321240802,81.0272571452968,8.33115397497659,81.3270911360799,8.048796321240804,76.00000000000001,11.886292551392293,86.6541822721598,12.955583781175154,65.31176284154256,11.74935139166643,4.190227703522011,6.6054925662372685,57.34396921587037,15.598179431424855,80.80324058532715,16.31050303197233,0.0005523696883121496,0.0010328670556436737,0.7891372323036194,0.052307048187758,10.162333965301514,0.9293678245369077,0.02014024226058003,0.057625012178664316,results/hubert/overlap/ig,ggc
4,81.3193668528864,8.054959218966669,82.68299592667894,7.462012857215609,81.32709113607989,8.048796321240802,81.0272571452968,8.33115397497659,81.3270911360799,8.048796321240804,76.0,11.886292551392293,86.6541822721598,12.955583781175159,65.25760399954659,11.840842146926112,4.2034627246458705,6.675392154656316,57.32787283318314,15.642016446602286,80.78555532182966,16.548522178710694,0.0004847499171219376,0.0010467605840593528,0.7874071683202472,0.04188704777288315,10.347644083840507,0.797250470316558,0.03134911449991965,0.07318943092033002,results/hubert/overlap/gbp,shap
5,81.3193668528864,8.054959218966669,82.68299592667894,7.462012857215608,81.32709113607989,8.048796321240802,81.02725714529682,8.33115397497659,81.32709113607989,8.048796321240804,76.0,11.886292551392295,86.6541822721598,12.955583781175156,65.54329643249511,11.653585692053511,3.693171326753761,5.832780446903811,58.081941228346054,15.00576262751677,80.74555530548096,16.727174527791465,0.0009237147032600219,0.0014698931291081449,0.827062126994133,0.02732939871410757,10.174136781692505,0.18512057792656295,0.09968667621142231,0.11010487407070312,results/hubert/overlap/saliency,ig
6,81.31936685288642,8.054959218966669,82.68299592667896,7.462012857215608,81.3270911360799,8.048796321240802,81.0272571452968,8.331153974976589,81.3270911360799,8.048796321240804,76.00000000000001,11.886292551392295,86.6541822721598,12.955583781175156,65.24326503753662,11.79686968221649,4.239832520571823,6.744035152903889,57.25892350610222,15.706712404728924,80.8032219696045,16.45624453804716,0.0005496976143896358,0.0010636944752277077,0.7862240570783615,0.04379648630546999,10.263076391220093,0.9342351440825549,0.023963582309661433,0.06242622555111838,results/hubert/overlap/ig,shap
7,81.3193668528864,8.054959218966669,82.68299592667896,7.462012857215608,81.32709113607991,8.048796321240802,81.0272571452968,8.33115397497659,81.32709113607991,8.048796321240804,76.0,11.886292551392295,86.6541822721598,12.955583781175156,65.58496284484863,11.80649431213314,3.951671586992724,6.29263856874973,57.993053105094056,15.163801994783642,80.67805528640747,16.463975691167477,0.0005064504725769672,0.001257722337593421,0.7905563831329345,0.046034870236668586,10.677144765853882,0.611222938503774,0.050326760135067164,0.0921845411655005,results/hubert/overlap/saliency,smoothgrad
8,81.31936685288642,8.054959218966667,82.68299592667896,7.462012857215608,81.3270911360799,8.048796321240802,81.0272571452968,8.33115397497659,81.32709113607991,8.048796321240804,76.0,11.886292551392295,86.6541822721598,12.955583781175156,65.33383466280424,11.722535474635837,4.143571433071094,6.517022312836442,57.443501265159455,15.528197206330633,80.76606823847844,16.21346529889932,0.0005521371656702608,0.0010263104168363975,0.7891439171937796,0.050862166470290036,10.21703062057495,0.9152949938960725,0.018603707440398957,0.05561959535378653,results/hubert/overlap/shap,smoothgrad
9,81.31936685288642,8.054959218966669,82.68299592667896,7.462012857215609,81.32709113607989,8.0487963212408,81.0272571452968,8.33115397497659,81.3270911360799,8.048796321240804,76.0,11.886292551392295,86.6541822721598,12.955583781175156,65.14332702636719,11.872517321564645,4.246307139595257,6.83505753860116,57.201507341558155,15.708988089940092,80.81466636657714,16.661621048017697,0.0004173992427902891,0.0011474745490533582,0.7872730994224548,0.04500747919909791,10.30560962677002,0.9265838159017028,0.04334312919410877,0.08364080848911042,results/hubert/overlap/saliency,ggc
10,81.31936685288642,8.054959218966669,82.68299592667894,7.462012857215608,81.32709113607991,8.048796321240802,81.0272571452968,8.331153974976592,81.32709113607991,8.048796321240804,75.99999999999999,11.886292551392295,86.6541822721598,12.955583781175156,65.339644241333,11.710998811478655,3.9145769341743764,6.1907934656572925,57.7417469695118,15.155460797966429,80.69851824442546,16.703521777834723,0.0006306732251578381,0.0013458928849047322,0.8086680074532827,0.03800561286838989,10.360434945424398,0.30872663253443444,0.0668461330778276,0.10118837586213544,results/hubert/overlap/saliency,shap
11,81.3193668528864,8.054959218966667,82.68299592667894,7.462012857215608,81.32709113607989,8.048796321240802,81.0272571452968,8.331153974976589,81.3270911360799,8.048796321240804,75.99999999999999,11.886292551392293,86.6541822721598,12.955583781175156,65.37150837291371,11.763640424575069,4.153914858013812,6.561950480654434,57.429643254291285,15.610819838083927,80.79696950045499,16.27482372981223,0.0005799604110600377,0.0010647572129777972,0.7945932420817289,0.04964133069952141,10.271637578444047,0.8927835268045157,0.021865370688134465,0.05988979164474338,results/hubert/overlap/ig,smoothgrad
12,81.31936685288642,8.054959218966669,82.68299592667894,7.462012857215608,81.3270911360799,8.048796321240802,81.0272571452968,8.33115397497659,81.32709113607991,8.048796321240804,76.0,11.886292551392293,86.6541822721598,12.955583781175156,65.18400566101074,11.75172313759062,4.259001788016449,6.712792283499081,57.23059825731951,15.593964225417926,80.76237030029297,16.180981617866347,0.0005062732727287803,0.0009715820498038077,0.781616457303365,0.05544966789481599,10.16935312906901,0.8768195837871172,0.016146289938260453,0.052156706112641456,results/hubert/overlap/smoothgrad,ggc
13,81.3193668528864,8.054959218966667,82.68299592667894,7.462012857215608,81.32709113607989,8.048796321240802,81.0272571452968,8.33115397497659,81.3270911360799,8.048796321240804,76.0,11.886292551392293,86.6541822721598,12.955583781175156,65.21388658796037,11.745967442855292,4.23590152633913,6.695129648426828,57.26751317800834,15.618065591435592,80.76992053985596,16.246285627837295,0.0005278832563013671,0.0009970692909044238,0.782084926537105,0.05653755685939253,10.159686354228429,0.9065723465843079,0.017289489018055194,0.05380544286537613,results/hubert/overlap/shap,ggc
14,81.3193668528864,8.054959218966669,82.68299592667896,7.462012857215608,81.32709113607991,8.048796321240802,81.0272571452968,8.33115397497659,81.32709113607991,8.048796321240804,76.0,11.886292551392295,86.6541822721598,12.955583781175156,65.37662959098816,11.892761354767565,4.157981498940018,6.6608163237268725,57.48585311025321,15.637372717701579,80.7479163646698,16.45399147357311,0.00047778982028298276,0.0010052630980618169,0.781560218334198,0.042635185296644056,10.501243400573731,0.8497447525564921,0.027518203877843917,0.06920866427860203,results/hubert/overlap/gbp,smoothgrad
